"club_name","mostvalue"
"AC Milan",460575000
"Atalanta",414400000
"Bologna",145750000
"Cagliari",112550000
"Empoli",57405000
"Fiorentina",217525000
"Genoa",88075000
"Hellas Verona",129475000
"Inter",6.31e+08
"Juventus",713700000
"Lazio",388275000
"Napoli",473900000
"Roma",393075000
"Spezia",52075000
"Torino F.C.",182950000
"U.C. Sampdoria",115600000
"U.S. Sassuolo Calcio",158675000
"Udinese Calcio",117800000
"US Salernitana 1919",42325000
"Venezia FC",62700000
